不翼而飞 不胫而走
不用 不必
不由自主 情不自禁
不约而同 不谋而合
不知所措 手足无措
不置可否 模棱两可
不自量力 量力而行
不足 缺乏
不足为奇 屡见不鲜
布防 设防
布告 公告
布局 规划
步人后尘 独具匠心
步调 步伐
部分 局部
猜测 猜想
猜想 猜测
才华 才气
才华出众 才华盖世
才能 才干
才子 佳人
材料 资料
财产 财富
裁减 扩充
裁决 判决
采购 推销
采纳 采用
彩色 黑色
参差 整齐
参差不齐 良莠不齐
参观 观赏
参加 参与
参军 从军
参谋 顾问
餐风露宿 栉风沐雨
残暴 残酷
残害 摧残
残花败柳 半老徐娘
残酷 严酷
残缺 完整
残忍 残暴
残余 剩余
惭愧 羞愧
惨绝人寰 仁至义尽
惨无人道 惨绝人寰
惨重 沉重
灿烂 绚烂
仓促 匆促
仓皇失措 惊惶失措
苍白 惨白
苍老 衰老
苍凉 凄凉
苍莽 苍茫
苍穹 天穹
沧海一粟 九牛一毛
藏匿 躲藏
操办 筹办
操持 料理
操行 品行
操劳 劳累
操之过急 稳扎稳打
嘈杂 喧闹
草草了事 敷衍了事
草率 轻率
草木皆兵 风声鹤唳
侧面 正面
测验 检验
恻隐 怜悯
恻隐之心 落井下石
策动 策划
策划 筹划
策略 战略
层峦叠嶂 一马平川
曾经 已经
插入 拔出
查究 追究
查看 检查
查问 查询
察访 查访
察觉 发觉
察看 观察
刹时 瞬时
诧异 惊讶
差别 差异
差错 过失
差遣 派遣
差异 差别
姹紫嫣红 万紫千红
拆除 撤除
拆穿 掩饰
拆散 分离
拆卸 装配
搀扶 扶持
搀和 搀杂
搀杂 搀和
谗言 忠言
产生 发生
谄媚 奉承
铲除 根除
阐明 说明
阐述 论述
颤动 颤抖
颤抖 哆嗦
昌盛 兴盛
猖獗 猖狂
猖狂 猖獗
常备不懈 临阵磨枪
常常 经常
常规 惯例
常见 罕见
常年 终年
常识 知识
偿还 归还
场合 场所
场面 局面
敞开 关闭
怅然 欣然
怅惘 迷惘
畅快 痛快
畅所欲言 各抒己见
畅通 疏通
畅销 滞销
倡导 倡议
倡议 建议
唱工 做工
抄袭 剽窃
抄写 誊写
超常 超凡
超过 超越
超群绝伦 出类拔萃
超越 逾越
朝不保夕 危在旦夕
朝气 暮气
朝气蓬勃 萎靡不振
朝三暮四 朝秦暮楚
朝思暮想 念念不忘
朝霞 晚霞
嘲笑 讪笑
潮湿 湿润
吵嚷 喧嚷
车水马龙 门可罗雀
车载斗量 汗牛充栋
扯谎 撒谎
撤退 撤离
撤消 吊销
撤职 免职
嗔怪 责怪
沉甸甸 轻飘飘
沉积 堆积
沉寂 寂静
沉浸 沉溺
沉没 漂浮
沉闷 活跃
沉迷 沉浸
沉默 缄默
沉默寡言 夸夸其谈
沉睡 觉醒
沉思 深思
沉着 冷静
沉重 繁重
沉醉 陶醉
陈词滥调 老生常谈
陈腐 新鲜
陈迹 遗迹
陈旧 陈腐
陈设 摆设
陈述 陈说
陈说 陈述
晨光 晨曦
衬托 烘托
趁火打劫 浑水摸鱼
趁势 顺势
称呼 称谓
称说 称呼
称颂 赞颂
称心 满意
称心如意 心满意足
称许 赞许
称誉 称赞
称赞 称誉
撑持 支撑
瞠目结舌 张口结舌
成本 本钱
成果 效果
成绩 成果
成千上万 不计其数
成千盈百 成百上千
成心 故意
成长 生长
成竹在胸 心中有数
呈现 出现
诚恳 诚实
诚然 固然
诚实 老实
诚心诚意 虚情假意
承担 承当
承当 承担
承继 承袭
承前启后 承上启下
承认 供认
承受 接受
乘风破浪 披荆斩棘
乘凉 纳凉
程度 水平
程序 顺序
惩办 惩罚
惩处 惩办
惩前毖后 小惩大诫
澄清 廓清
逞强 示弱
吃苦 享乐
吃力 费劲
吃一堑;长一智 重蹈覆辙
嗤之以鼻 五体投地
痴呆 聪慧
痴心妄想 胡思乱想
弛缓 缓和
驰名 著名
驰名中外 举世闻名
迟钝 愚钝
迟缓 缓慢
迟疑 踌躇
持久 耐久
持续 继续
持之以恒 锲而不舍
持重 稳健
侈靡 奢侈
耻辱 羞耻
叱骂 责骂
叱责 斥责
斥责 呵斥
赤诚 热诚
赤胆忠心 忠心耿耿
赤裸裸 光秃秃
赤贫如洗 一无所有
赤身露体 一丝不挂
赤手空拳 手无寸铁
赤心 丹心
炽热 火热
冲动 激动
冲破 突破
冲突 抵触
充斥 充满
充当 充任
充耳不闻 不闻不问
充分 充沛
充满 充溢
充沛 充分
充实 空虚
充裕 富余
憧憬 神往
崇拜 崇敬
崇奉 信奉
崇高 高尚
崇敬 敬重
宠爱 溺爱
抽泣 啜泣
抽象 笼统
仇敌 仇人
仇人 仇敌
仇视 敌视
惆怅 难过
酬报 酬谢
酬谢 酬报
稠密 稀疏
愁眉不展 愁眉苦脸
筹备 准备
筹划 谋划
踌躇 迟疑
踌躇满志 趾高气扬
丑化 美化
丑陋 漂亮
臭名远扬 臭名昭著
臭名昭著 臭名远扬
出奔 出走
出兵 收兵
出尔反尔 反复无常
出发 动身
出工 收工
出航 返航
出乎意料 出人意料
出击 反击
出类拔萃 鹤立鸡群
出名 知名
出其不意 出乎意料
出人头地 高人一等
出人意料 出其不意
出神 入迷
出生入死 赴汤蹈火
出师 班师
出世 出生
出头露面 抛头露面
出息 长进
出席 列席
出现 呈现
出项 进项
除暴安良 仗势欺人
除夕 元旦
储备 储藏
储藏 贮藏
储存 贮存
处罚 处分
处分 奖励
处理 处置
处心积虑 挖空心思
处之泰然 泰然自若
触动 震动
触犯 冒犯
触类旁通 举一反三
触目惊心 惊心动魄
矗立 耸立
揣测 推测
川流不息 络绎不绝
穿插 交叉
穿梭 穿越
穿凿附会 牵强附会
传播 传达
传授 教授
传闻 风闻
舛误 谬误
创办 兴办
创痕 伤痕
创建 创立
创立 创建
创始 开创
创造 发明
吹牛 吹嘘
垂死挣扎 困兽犹斗
垂头丧气 无精打采
垂涎三尺 垂涎欲滴
锤炼 锻炼
纯粹 地道
纯洁 纯真
纯净 纯洁
纯朴 质朴
纯熟 熟练
纯正 纯粹
唇齿相依 不共戴天
唇枪舌剑 针锋相对
淳厚 淳朴
淳朴 憨厚
蠢笨 笨拙
蠢才 天才
蠢蠢欲动 跃跃欲试
戳穿 拆穿
啜泣 抽泣
辍学 停学
辞别 告别
辞让 推让
辞世 谢世
辞退 解雇
慈爱 慈祥
慈悲 慈善
慈善 慈悲
此岸 彼岸
此后 尔后
次序 次第
次要 主要
刺耳 逆耳
刺激 安慰
刺探 探听
刺眼 扎眼
葱翠 葱茏
葱茏 葱翠
葱绿 翠绿
聪慧 聪明
从军 参军
从来 历来
从容 沉着
从容不迫 慢条斯理
从属 附属
从天而降 突如其来
从头至尾 自始至终
从新 重新
凑合 对付
凑近 靠近
凑巧 恰巧
粗暴 粗犷
粗鄙 粗俗
粗茶淡饭 家常便饭
粗放 集约
粗犷 粗暴
粗劣 精致
粗率 草率
粗浅 深刻
粗疏 细致
粗俗 粗鄙
粗心 大意
粗心大意 粗枝大叶
粗枝大叶 粗心大意
粗制滥造 精雕细刻
粗壮 细弱
促成 促进
簇新 崭新
簇拥 蜂拥
篡夺 夺取
篡改 窜改
催促 敦促
璀璨 灿烂
脆弱 软弱
存放 寄存
存心 居心
寸步难行 步履维艰
磋商 商量
挫伤 伤害
挫折 波折
错乱 紊乱
错落 参差
错综复杂 扑朔迷离
搭档 伙伴
搭伙 散伙
搭救 陷害
达到 到达
答辩 辩论
答复 回答
答应 容许
打扮 装扮
打抱不平 仗义执言
打草惊蛇 风吹草动
打成一片 孤芳自赏
打动 感动
打搅 打扰
打救 搭救
打开 翻开
打量 端详
打扰 打搅
打扫 清扫
打算 计划
打探 刺探
打消 消除
大吹大擂 自吹自擂
大刀阔斧 束手无策
大道 小道
大抵 大致
大发雷霆 怒不可遏
大方 小气
大风 微风
大腹便便 脑满肠肥
大概 大约
大纲 纲要
大公无私 铁面无私
大功告成 半途而废
大海捞针 易如反掌
大惑不解 百思不解
大家庭 小家庭
大街小巷 街头巷尾
大节 小节
大惊失色 心惊胆战
大惊小怪 少见多怪
大快人心 皆大欢喜
大力 鼎力
大量 少量
大略 大概
大模大样 大摇大摆
大逆不道 离经叛道
大人物 小人物
大失所望 事与愿违
大师 巨匠
大题小作 小题大作
